"Plot_pair","Plot_code","Fire_interval","Sample_year","Species","stems_ha","pres"
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"PICO",11466.6666666667,1
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"PIEN",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"POTR",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"PSME",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",2021,"Total",11466.6666666667,1
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"ABLA",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"PIAL",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"PICO",3333.33333333333,1
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"PIEN",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"POTR",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"PSME",0,0
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",2021,"Total",3333.33333333333,1
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"ABLA",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"PIAL",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"PICO",148000,1
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"PIEN",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"POTR",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"PSME",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",2021,"Total",148000,1
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"ABLA",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"PIAL",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"PICO",2066.66666666666,1
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"PIEN",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"POTR",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"PSME",0,0
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2021,"Total",2066.66666666666,1
"NorthFork_Cygnet_1_1","NFork_Cygnet_1_1_long_3","Long",2021,"ABLA",0,0
"NorthFork_Cygnet_1_1","NFork_Cygnet_1_1_long_3","Long",2021,"PIAL",0,0
